baseMean	log2FoldChange	lfcSE	pvalue	padj
gene-YPR184W	1430.12961104411	-4.06179614443708	0.453816529381327	2.21799354521255e-20	5.65395485025268e-19
gene-YML093W	1097.30772002799	3.62525964409541	0.403814112320139	2.53108015583273e-20	6.42412249075641e-19
gene-YDL126C	3430.25408228399	-3.44050514018692	0.383643493364464	2.82549363504841e-20	7.14046085443485e-19
gene-YKL103C	724.243119285154	-3.77158623492164	0.422128567775954	2.91364817434633e-20	7.33163916145602e-19
gene-YLR073C	203.745277203177	4.4003786351574	0.492330819668607	3.71612071850198e-20	9.31094691135775e-19
gene-YMR031C	1597.48623707701	-3.9560159600874	0.445443186072888	4.49036150365083e-20	1.12029742535765e-18
gene-YDR021W	313.254829760277	4.07377355504371	0.457696551747055	4.90993012598489e-20	1.21978475968853e-18
gene-YLR407W	865.595785515385	3.79883176465801	0.427868642042934	5.7957663653542e-20	1.42900089686924e-18
gene-YPR112C	960.678135793154	3.58069661210724	0.402804084262601	5.80082233421251e-20	1.42900089686924e-18
gene-YMR105C	1858.63530394614	-3.71529165323307	0.417638002849953	6.05983071650505e-20	1.48656014606147e-18
gene-YPL095C	1176.07996929011	4.57033627556219	0.516589335600338	6.45252174186109e-20	1.57629729052215e-18
gene-YIL169C	3360.49157984729	-3.87755063082967	0.438053066672888	7.44057579912072e-20	1.81012846100601e-18
gene-YGR245C	1299.86321957478	3.74846857750074	0.423860462692454	8.3546852111133e-20	2.02411237160154e-18
gene-YBR072W	35279.8099583127	-4.08163923041708	0.463354649700621	9.43310399784723e-20	2.27143028954663e-18
gene-YDL201W	554.476678328627	3.7390033961561	0.423398196779632	9.45299318863002e-20	2.27143028954663e-18
gene-YKL172W	1940.4669618952	3.5340903577742	0.400094134995828	9.75622379133973e-20	2.33472408524999e-18
gene-YDL148C	1019.03601260146	3.58656719659576	0.406558535686589	1.0573817820693e-19	2.52009324726517e-18
gene-YOR272W	955.869186267741	3.94758258761963	0.44856957699502	1.1053494675768e-19	2.62375057830072e-18
gene-YCR004C	1319.24734537699	-3.5856994107826	0.408502892654488	1.52011080719128e-19	3.5937135736139e-18
gene-YPL220W	5381.9423963146	4.98048956698032	0.569555744158781	1.61801473582142e-19	3.8098073880004e-18
gene-YOL032W	855.599517037916	-4.20167410978274	0.47761692901065	1.64922408032713e-19	3.86776031318319e-18
gene-YOR287C	442.148159231863	3.62203033932992	0.413652823697421	1.85136508401734e-19	4.32452330183014e-18
gene-YPR124W	1199.11169148013	-3.82283139330034	0.437730909591578	1.86530717879754e-19	4.33979999575e-18
